Title,Authors,Publication Name,Publication Year,DOI,Link
Smart Gas Sensors: Recent Developments and Future Prospective,Zong B.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01543-w,https://api.elsevier.com/content/abstract/scopus_id/85208631944
Complex shape markers can detect alterations in the spatial distribution of cell nuclei in human lung squamous cell carcinoma: a useful tool for automatic analysis?,dos Santos A.V.F.,Histochemistry and Cell Biology,2025-12-01,10.1007/s00418-024-02336-3,https://api.elsevier.com/content/abstract/scopus_id/85208603364
Regularization by double complementary priors for full waveform inversion,Qi H.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105753,https://api.elsevier.com/content/abstract/scopus_id/85208589521
Backpropagation-based inference for spatial interpolation to estimate the blastability index in an open pit mine,Hajlaoui Y.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105756,https://api.elsevier.com/content/abstract/scopus_id/85208572744
Latent diffusion model for conditional reservoir facies generation,Lee D.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105750,https://api.elsevier.com/content/abstract/scopus_id/85208568575
Curvilinear lineament extraction: Bayesian optimization of Principal Component Wavelet Analysis and Hysteresis Thresholding,Abbassi B.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105768,https://api.elsevier.com/content/abstract/scopus_id/85208499680
Latent diffusion models for parameterization of facies-based geomodels and their use in data assimilation,Di Federico G.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105755,https://api.elsevier.com/content/abstract/scopus_id/85208482635
Development and validation of a model for predicting who can benefit from multiple TACE in HCC patients,Zhang H.,Clinical and Experimental Medicine,2025-12-01,10.1007/s10238-024-01516-8,https://api.elsevier.com/content/abstract/scopus_id/85208291151
Shale sample permeability estimation using fractal parameters computed from TransUnet-based SEM image segmentation,Liu K.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105745,https://api.elsevier.com/content/abstract/scopus_id/85208172515
Current and Future Directions of Technology in Assessment of Peyronie’s Disease,Mian A.H.,Current Urology Reports,2025-12-01,10.1007/s11934-024-01247-z,https://api.elsevier.com/content/abstract/scopus_id/85208135008
SwinInver: 3D data-driven seismic impedance inversion based on Swin Transformer and adversarial training,Zhu X.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105743,https://api.elsevier.com/content/abstract/scopus_id/85208027725
Towards superior android ransomware detection: An ensemble machine learning perspective,Hossain M.A.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100076,https://api.elsevier.com/content/abstract/scopus_id/85207803322
A novel algorithm for identifying arrival times of P and S Waves in seismic borehole surveys,Anbazhagan P.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105746,https://api.elsevier.com/content/abstract/scopus_id/85207779260
A Flexible Smart Healthcare Platform Conjugated with Artificial Epidermis Assembled by Three-Dimensionally Conductive MOF Network for Gas and Pressure Sensing,Zhou Q.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01548-5,https://api.elsevier.com/content/abstract/scopus_id/85207695719
Adaptive constraint-guided surrogate enhanced evolutionary algorithm for horizontal well placement optimization in oil reservoir,Dai Q.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105740,https://api.elsevier.com/content/abstract/scopus_id/85207694398
Startup entrepreneurs’ personality traits and resilience: unveiling the interplay of prior experience,Branca E.,International Entrepreneurship and Management Journal,2025-12-01,10.1007/s11365-024-01023-y,https://api.elsevier.com/content/abstract/scopus_id/85207633246
Tennis teaching assistance model based on double chain shared unsupervised action recognition algorithm,Bai H.,International Journal of Cognitive Computing in Engineering,2025-12-01,10.1016/j.ijcce.2024.10.001,https://api.elsevier.com/content/abstract/scopus_id/85207597790
Intelligent fault prediction with wavelet-SVM fusion in coal mine,Han C.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105744,https://api.elsevier.com/content/abstract/scopus_id/85207575751
Dissecting Secondary Immunodeficiency: Identification of Primary Immunodeficiency within B-Cell Lymphoproliferative Disorders,Palacios-Ortega M.,Journal of Clinical Immunology,2025-12-01,10.1007/s10875-024-01818-2,https://api.elsevier.com/content/abstract/scopus_id/85207379751
Cognitive computing method based on decoding psychological emotional states,Huangfu B.,International Journal of Cognitive Computing in Engineering,2025-12-01,10.1016/j.ijcce.2024.10.002,https://api.elsevier.com/content/abstract/scopus_id/85207339610
Novel hybrid deep learning based cyber security threat detection model with optimization algorithm,Markkandeyan S.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100075,https://api.elsevier.com/content/abstract/scopus_id/85206973211
Optimizing breast cancer diagnosis: Harnessing the power of nature-inspired metaheuristics for feature selection with soft voting classifiers,Benghazouani S.,International Journal of Cognitive Computing in Engineering,2025-12-01,10.1016/j.ijcce.2024.09.005,https://api.elsevier.com/content/abstract/scopus_id/85206830427
Gradient-Layered MXene/Hollow Lignin Nanospheres Architecture Design for Flexible and Stretchable Supercapacitors,Zhang H.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01512-3,https://api.elsevier.com/content/abstract/scopus_id/85206568639
A Rapid Adaptation Approach for Dynamic Air-Writing Recognition Using Wearable Wristbands with Self-Supervised Contrastive Learning,Guo Y.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01545-8,https://api.elsevier.com/content/abstract/scopus_id/85206499030
Ultra-High Sensitivity Anisotropic Piezoelectric Sensors for Structural Health Monitoring and Robotic Perception,Yin H.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01539-6,https://api.elsevier.com/content/abstract/scopus_id/85206498331
"Chemical Concentrations, Source Emission, Potential Toxicity, and Health Risk of Ambient Fine Particulate Matter and Its Constituents: A Recent Literature Review",Bachwenkizi J.,Current Pollution Reports,2025-12-01,10.1007/s40726-024-00332-8,https://api.elsevier.com/content/abstract/scopus_id/85206257480
Automatic intrusion detection model with secure data storage on cloud using adaptive cyclic shift transposition with enhanced ANFIS classifier,K V K C.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100073,https://api.elsevier.com/content/abstract/scopus_id/85206073157
Flexible Graphene Field-Effect Transistors and Their Application in Flexible Biomedical Sensing,Sun M.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01534-x,https://api.elsevier.com/content/abstract/scopus_id/85206070184
"The Intersection of Artificial Intelligence, Wearable Devices, and Sexual Medicine",Smerina D.R.,Current Urology Reports,2025-12-01,10.1007/s11934-024-01244-2,https://api.elsevier.com/content/abstract/scopus_id/85206029288
Climate Change and Hydrological Extremes,Xiong J.,Current Climate Change Reports,2025-12-01,10.1007/s40641-024-00198-4,https://api.elsevier.com/content/abstract/scopus_id/85206006194
Characteristics of Endemic Mycoses Talaromyces marneffei Infection Associated with Inborn Errors of Immunity,Xing S.,Journal of Clinical Immunology,2025-12-01,10.1007/s10875-024-01798-3,https://api.elsevier.com/content/abstract/scopus_id/85204940853
Bioinspired Passive Tactile Sensors Enabled by Reversible Polarization of Conjugated Polymers,He F.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01532-z,https://api.elsevier.com/content/abstract/scopus_id/85204940332
Advances in Graphene-Based Electrode for Triboelectric Nanogenerator,Xie B.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01530-1,https://api.elsevier.com/content/abstract/scopus_id/85204936102
Tailoring Light–Matter Interactions in Overcoupled Resonator for Biomolecule Recognition and Detection,Li D.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01520-3,https://api.elsevier.com/content/abstract/scopus_id/85204934229
Bimetallic Single-Atom Catalysts for Water Splitting,Deshmukh M.A.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01505-2,https://api.elsevier.com/content/abstract/scopus_id/85204882803
AI for BPH Surgical Decision-Making: Cost Effectiveness and Outcomes,Lama J.,Current Urology Reports,2025-12-01,10.1007/s11934-024-01240-6,https://api.elsevier.com/content/abstract/scopus_id/85204761202
The Emerging Role of Artificial Intelligence and Automated Platforms for the Assessment of Penile Curvature: A Scoping Review,Lewis K.,Current Urology Reports,2025-12-01,10.1007/s11934-024-01232-6,https://api.elsevier.com/content/abstract/scopus_id/85204661015
Machine Learning of Laboratory Data in Predicting 30-Day Mortality for Adult Hemophagocytic Lymphohistiocytosis,Zhou J.,Journal of Clinical Immunology,2025-12-01,10.1007/s10875-024-01806-6,https://api.elsevier.com/content/abstract/scopus_id/85204626707
The Promise of Artificial Intelligence in Peyronie’s Disease,Furtado T.P.,Current Urology Reports,2025-12-01,10.1007/s11934-024-01233-5,https://api.elsevier.com/content/abstract/scopus_id/85204469202
A comprehensive investigation into robust malware detection with explainable AI,Baghirov E.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100072,https://api.elsevier.com/content/abstract/scopus_id/85204399615
Uniparental Disomy of Chromosome 4: A Case of Whole Chromosome UPD Presenting with LRBA Deficiency,Ak B.,Journal of Clinical Immunology,2025-12-01,10.1007/s10875-024-01803-9,https://api.elsevier.com/content/abstract/scopus_id/85204296573
Hyperferritinemia Screening to Aid Identification and Differentiation of Patients with Hyperinflammatory Disorders,Carol H.A.,Journal of Clinical Immunology,2025-12-01,10.1007/s10875-024-01797-4,https://api.elsevier.com/content/abstract/scopus_id/85203669404
Federated learning-based intrusion detection system for the internet of things using unsupervised and supervised deep learning models,Olanrewaju-George B.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100068,https://api.elsevier.com/content/abstract/scopus_id/85200809650
EMAKAS: An efficient three-factor mutual authentication and key-agreement scheme for IoT environment,Magara T.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100066,https://api.elsevier.com/content/abstract/scopus_id/85200808897
A survey on scalable consensus algorithms for blockchain technology,Jain A.K.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100065,https://api.elsevier.com/content/abstract/scopus_id/85199302315
Distributed and trustworthy digital twin platform based on blockchain and Web3 technologies,Hosseini Bamakan S.M.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100064,https://api.elsevier.com/content/abstract/scopus_id/85198751881
A novel approach for handling missing data to enhance network intrusion detection system,Tahir M.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100063,https://api.elsevier.com/content/abstract/scopus_id/85198561562
An improved three factor authentication protocol for wireless body area networks,Manickam M.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100062,https://api.elsevier.com/content/abstract/scopus_id/85197526535
Survey of techniques to detect common weaknesses in program binaries,Adhikari A.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100061,https://api.elsevier.com/content/abstract/scopus_id/85195044861
"Authentication, access control and scalability models in Internet of Things Security–A review",Kokila M.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100057,https://api.elsevier.com/content/abstract/scopus_id/85191295877
ABiLSTM with BERT Embedding for Classification of Imbalanced COVID-19 Rumors,Dutta R.,Current Applied Science and Technology,2025-11-13,10.55003/cast.2024.259284,https://api.elsevier.com/content/abstract/scopus_id/85210241190
Digital Literacy: Comparative Review on Machine Learning Based Performance Assessment of Students,Shwetha K.,EAI Endorsed Transactions on Internet of Things,2025-11-08,10.4108/eetiot.6711,https://api.elsevier.com/content/abstract/scopus_id/85210086267
Brackish water parameters monitoring dashboard using Internet of Things and Industry 4.0,Sowmiya V.,EAI Endorsed Transactions on Internet of Things,2025-11-08,10.4108/eetiot.6860,https://api.elsevier.com/content/abstract/scopus_id/85210003601
Very Deep Convolutional Networks based transfer learning approach for SARS-CoV-2 recognition from chest CT images,Nikam N.,Journal of Integrated Science and Technology,2025-11-01,10.62110/sciencein.jist.2025.v13.1009,https://api.elsevier.com/content/abstract/scopus_id/85210261605
Image De-noising Based on WMF Technique for Electrical Trees Structure in High Voltage Cable Insulation,Abdulah C.S.K.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-11-01,10.37934/araset.53.1.5772,https://api.elsevier.com/content/abstract/scopus_id/85210260550
Hyperparameter Optimization for Convolutional Neural Network-Based Sentiment Analysis,Kusumaningrum R.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-11-01,10.37934/araset.53.1.4456,https://api.elsevier.com/content/abstract/scopus_id/85210225468
Automated raga recognition in Indian classical music using machine learning techniques,Humse K.,Journal of Integrated Science and Technology,2025-11-01,10.62110/sciencein.jist.2025.v13.1011,https://api.elsevier.com/content/abstract/scopus_id/85209140931
Enhancing emotion recognition in controlled environments with YoLoNetv8,Singh E.,Journal of Integrated Science and Technology,2025-11-01,10.62110/sciencein.jist.2025.v13.1010,https://api.elsevier.com/content/abstract/scopus_id/85209130962
Classification of retinal blood vessels into arteries and veins using CNN and likelihood propagation,Patil S.,Journal of Integrated Science and Technology,2025-11-01,10.62110/sciencein.jist.2025.v13.1006,https://api.elsevier.com/content/abstract/scopus_id/85209125770
Talent scouting and standardizing fitness data in football club: systematic review,Yunus M.,Retos,2025-11-01,10.47197/retos.v62.107767,https://api.elsevier.com/content/abstract/scopus_id/85207699597
"Influence of demographic, political division, and economic variables on the structure of digital news sites in Argentina Abstract",Nanni Sousa G.D.,Austral Comunicacion,2025-10-24,10.26422/aucom.2025.1401.nan,https://api.elsevier.com/content/abstract/scopus_id/85210169710
Learning Terrain Traversability for a Mobile Robot based on Information Fusion,Peralta-Lopez J.E.,Inteligencia Artificial,2025-10-19,10.4114/intartif.vol28iss75pp1-14,https://api.elsevier.com/content/abstract/scopus_id/85208188403
Semantic alignment in disciplinary tutoring system: leveraging sentence transformer technology,Abdoune R.,Inteligencia Artificial,2025-10-19,10.4114/intartif.vol28iss75pp46-62,https://api.elsevier.com/content/abstract/scopus_id/85208185177
Real Time Distracted Driver Detection Using Xception Architecture And Raspberry Pi,Narayanan U.,Inteligencia Artificial,2025-10-19,10.4114/intartif.vol28iss75pp15-29,https://api.elsevier.com/content/abstract/scopus_id/85208180532
TOWARDS A CIRCULAR ECONOMY: INTEGRATION OF AI IN WASTE MANAGEMENT FOR SUSTAINABLE URBAN GROWTH,Singagerda F.S.,Journal of Lifestyle and SDG'S Review,2025-10-17,10.47172/2965-730X.SDGsReview.v5.n01.pe02642,https://api.elsevier.com/content/abstract/scopus_id/85209802746
"Detection of Breast Cancer Using Machine Learning Algorithms: A Study on Logistic Regression, K-Nearest Neighbors, and Decision Trees",Park Y.S.,Frontiers in Health Informatics,2025-10-02,,https://api.elsevier.com/content/abstract/scopus_id/85210254538
Adjustment of the Height Triangular Fuzzy Regression as Early Awareness of Breast Cancer,Lidinillah Z.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.2.189197,https://api.elsevier.com/content/abstract/scopus_id/85209215656
Python-Based DRAM Memory Controller Testbench: Pyuvm an Early Report,Abdelbaky D.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.2.176188,https://api.elsevier.com/content/abstract/scopus_id/85209152715
A Computer-Aided Model for Dental Image Diagnosis Utilizing Convolutional Neural Networks,Ashame L.A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.2.1525,https://api.elsevier.com/content/abstract/scopus_id/85209130591
Cover Selection in Steganography: A Systematic Literature Review,Anas T.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.2.107129,https://api.elsevier.com/content/abstract/scopus_id/85209124663
Energy Efficient and Throughput Oriented Route Optimization Models in the Internet of Vehicles: A Survey,Hussain Q.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.2.237246,https://api.elsevier.com/content/abstract/scopus_id/85209104363
Artificial Intelligence Recommendation System Model for Military Cabin Space Environment Design,Zhiqiang S.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.2.130138,https://api.elsevier.com/content/abstract/scopus_id/85209104133
"Exploring AI-Driven Management: Impact on Organizational Performance, Decision Making, Efficiency, and Employee Engagement",Tummalapalli H.K.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.2.148163,https://api.elsevier.com/content/abstract/scopus_id/85209065404
Hybrid Approach of Multiclassification for Lung Cancer Types Identification,Vaishya R.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.1.132150,https://api.elsevier.com/content/abstract/scopus_id/85207306966
Air Quality Prediction using Ensemble Classifiers and Single Decision Tree,Madan T.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.1.5667,https://api.elsevier.com/content/abstract/scopus_id/85207301069
PID Controller Parameter Tuning Based on a Modified Differential Evolutionary Optimization Algorithm for the Intelligent Active Vibration Control of a Combined Single Link Robotics Flexible Manipulator,Moloody A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.1.234258,https://api.elsevier.com/content/abstract/scopus_id/85207282718
An Accurate Classification for Human Sport Activity Recognition from Sensor Data Using Hybrid Machine Learning Models,Liftawi S.M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.1.6888,https://api.elsevier.com/content/abstract/scopus_id/85207269576
The Predictive Machine Learning Model Towards Effect of Human Resources Management Practices and Job Performances Among Academic Librarians in Malaysia,Azmi N.A.H.M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.1.259270,https://api.elsevier.com/content/abstract/scopus_id/85207261989
An IoT Based Real-Time Environmental Monitoring System for Developing Areas,Alam M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.1.106121,https://api.elsevier.com/content/abstract/scopus_id/85207259410
A Bibliometric Analysis of the Global Trend of Residual Stress Induced by WAAM Process and Stress Relief Heat Treatment,Ghazali S.N.M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.1.320331,https://api.elsevier.com/content/abstract/scopus_id/85207258279
Quantifying and Assessing Post-Stroke Patients' Functional Capability Level for Independent Daily Activities: A Review,Abd Mutalib M.A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-10-01,10.37934/araset.52.1.209233,https://api.elsevier.com/content/abstract/scopus_id/85207251190
Internationalization and Globalization in Higher Education: An Insight on Effect of Machine Translators on Team Performance among Multicultural Students Working and Studying in Hungary,Koech D.K.,Journal of Ecohumanism,2025-09-27,10.62754/joe.v4i1.4092,https://api.elsevier.com/content/abstract/scopus_id/85205302820
Exploring the Impact of Communicative Leadership on Employee Engagement: The Mediated Moderated Effect of Employee Perceptions of Communication and Leaders' Intention to use ChatGPT,Kumar S.S.,Journal of Ecohumanism,2025-09-27,10.62754/joe.v4i1.4086,https://api.elsevier.com/content/abstract/scopus_id/85205285637
Genetic variability of wild yellow plum (Ximenia americana L.) based on rapd markers,Do Rêgo E.R.,Revista Caatinga,2025-09-12,10.1590/1983-21252025v3811873rc,https://api.elsevier.com/content/abstract/scopus_id/85205678828
Enhancing EEG-based Stress detection: Integrated techniques and optimization strategies,Jagtap S.,Journal of Integrated Science and Technology,2025-09-01,10.62110/sciencein.jist.2025.v13.1003,https://api.elsevier.com/content/abstract/scopus_id/85206092538
Mobile Assistive Technology for Dyslexic Children: A Significant Review,Mohamad M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-09-01,10.37934/araset.51.2.5770,https://api.elsevier.com/content/abstract/scopus_id/85205318405
Detecting Wormhole Attack in Environmental Monitoring System for Agriculture using Deep Learning,Abdullah A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-09-01,10.37934/araset.51.2.153176,https://api.elsevier.com/content/abstract/scopus_id/85205298139
ECG Biometric Verification Incorporating Different Physiological Conditions,Mohd Azam S.N.A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-09-01,10.37934/araset.51.2.97110,https://api.elsevier.com/content/abstract/scopus_id/85205286474
Use of Natural Language Processing for the Detection of Hate Speech on Social Media,Shohan M.H.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-09-01,10.37934/araset.51.2.8696,https://api.elsevier.com/content/abstract/scopus_id/85205265354
"A Comparison of Regression Models for Dissolved Oxygen Prediction in Koh Yor, Thailand",Lampang W.N.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-09-01,10.37934/araset.51.2.227240,https://api.elsevier.com/content/abstract/scopus_id/85205261897
SimpliScopeX: Enhanced Deep Learning Model for Identification of Microscopic Image of Simplicia Fragments of Medicinal Plant Leaves,Gunawan R.I.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-09-01,10.37934/araset.51.2.117,https://api.elsevier.com/content/abstract/scopus_id/85205243843
Automotive Consumer Loans Risk Assessment Predictive Modeling Using Generative Adversarial Network and Stacked Autoencoder Neural Networks,Xueping Z.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-09-01,10.37934/araset.51.2.4556,https://api.elsevier.com/content/abstract/scopus_id/85205219925
Clustering on Sentiment Analysis: Effect of Twitter Dataset,Redjeki S.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-09-01,10.37934/araset.51.1.3951,https://api.elsevier.com/content/abstract/scopus_id/85204246647
Porosity and Density Determination from Well Log Data: Machine Learning and Simulation Approaches,Mannafi A.S.M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-09-01,10.37934/araset.51.1.116128,https://api.elsevier.com/content/abstract/scopus_id/85204228865
Big Data: Issues and Challenges in Clustering Data Visualization,Zaki U.H.H.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-09-01,10.37934/araset.51.1.150159,https://api.elsevier.com/content/abstract/scopus_id/85204223360
